mql_id,seller_id,sdr_id,sr_id,landing_page_id,won_date,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue
5420aad7fec3549a85876ba1c529bd84,2c43fb513632d29b3b58df74816f1b06,a8387c01a09e99ce014107505b92388c,4ef15afb4b2723d8f3d81e51ec7afefe,cad11107215ceb56fc841f6fed7ca520,2018-02-26 19:58:54,pet,online_medium,cat,,,,reseller,,0
a555fb36b9368110ede0f043dfc3b9a0,bbb7d7893a450660432ea6652310ebb7,09285259593c61296eef10c734121d5b,d3d1e91a157ea7f90548eef82f1955e3,b53d2709f1a9e792e423efa0f3141696,2018-05-08 20:17:59,car_accessories,industry,eagle,,,,reseller,,0
327174d3648a2d047e8940d7d15204ca,612170e34b97004b3ba37eae81836b4c,b90f87164b5f8c2cfa5c8572834dbe3f,6565aa9ce3178a5caf6171827af3a9ba,11c22dfdffe8f6081237c0183044d6ba,2018-06-05 17:27:23,home_appliances,online_big,cat,,,,reseller,,0
f5fee8f7da74f4887f5bcae2bafb6dd6,21e1781e36faf92725dde4730a88ca0f,56bf83c4bb35763a51c2baab501b4c67,d3d1e91a157ea7f90548eef82f1955e3,6f1fafd22928cbf994940db5373544a1,2018-01-17 13:51:03,food_drink,online_small,,,,,reseller,,0
ffe640179b554e295c167a2f6be528e0,ed8cb7b190ceb6067227478e48cf8dde,4b339f9567d060bcea4f5136b9f5949e,d3d1e91a157ea7f90548eef82f1955e3,03c1102ac6b9e29befbc48c9687719f5,2018-07-03 20:17:45,home_appliances,industry,wolf,,,,manufacturer,,0
b94fba7670eeb44dce2a0d8eb790e9f5,1c742ac33582852aaf3bcfbf5893abcf,fdb16d3cbbeb5798f2f66c4096be026d,495d4e95a8cf8bbf8b432b612a2aa328,6c26a7f2c7abe6bb6a6c50c6cf01e8f4,2018-02-07 18:04:05,health_beauty,online_medium,,,,,manufacturer,,0
c3e30ed7ac989117c7e1e719b4ac128f,92d7568ad0c5c76fd7d341b2d46f24d6,4b339f9567d060bcea4f5136b9f5949e,85fc447d336637ba1df43e793199fbc8,ffd4d56122f0c5773efa93771cdd28f6,2018-04-16 18:18:22,computers,online_medium,wolf,,,,reseller,,0
b02c89251106e1fdd9d92744be9f94f2,44ed138eca6214d572ce1d813fb0049b,34d40cdaf94010a1d05b0d6212f9e909,4ef15afb4b2723d8f3d81e51ec7afefe,8b08aa44d990bab21eb057e8e175adf4,2018-04-17 17:01:57,health_beauty,offline,cat,,,,manufacturer,,0
a90a37898cc5f2718385a2fb981caaff,0b28859cd04d23edefee9c591fb03cd8,f42a2bd194f7802ab052a815c8de65b7,6565aa9ce3178a5caf6171827af3a9ba,3f2661526b452351d75edec981faaefe,2018-05-14 18:37:15,household_utilities,offline,eagle,,,,reseller,,0
0173e8d8b1d94a355b440fb67388f532,87d73636a3acf123e842bb890a4db036,9d12ef1a7eca3ec58c545c678af7869c,9e4d1098a3b0f5da39b0bc48f9876645,995c3b6f5bfab8fa252b0c0d537ed429,2018-04-24 3:00:00,household_utilities,online_medium,eagle,,,,manufacturer,,0
4e4e70d504b4c0006c8287dedc99d0fc,f7a0d94e966c5665355a182d5b199fcf,fdb16d3cbbeb5798f2f66c4096be026d,4ef15afb4b2723d8f3d81e51ec7afefe,e3185911fac6b738534b0cc4421a532b,2018-02-28 19:42:14,construction_tools_house_garden,online_medium,cat,,,,reseller,,0
408a9c4a79800232ac656249af3162eb,b566ab0ef88016e00422755e305103c6,de63de0d10a6012430098db33c679b0b,d3d1e91a157ea7f90548eef82f1955e3,07087e7432f5d150444f699d118a1330,2018-02-23 13:54:40,construction_tools_house_garden,online_big,cat,,,,reseller,,0
c556184b3fe2087834850b68fa435cee,2d2322d842118867781fc737e96d59a1,09285259593c61296eef10c734121d5b,2695de1affa7750089c0455f8ce27021,23c3b670a09bc9e99c779447ffa37a8e,2018-05-22 13:24:08,household_utilities,online_medium,cat,,,,reseller,,0
67455a0673f5cf26deae5b270c003e83,e7012030d0fdd1d3ca504f6de7909c35,4b339f9567d060bcea4f5136b9f5949e,9ae085775a198122c5586fa830ff7f2b,d1f74a196c5ad8847292ecc5bda55dd1,2018-06-14 14:30:20,toys,online_big,wolf,,,,reseller,,0
ab11f58a6bf7036a656364b0ba68fb74,9e7c5f4d7770eab65738cca38f9efccf,068066e24f0c643eb1d089c7dd20cd73,de63de0d10a6012430098db33c679b0b,166c799d9b8949db053e871c68f9138e,2018-04-10 3:00:00,sports_leisure,online_medium,cat,,,,reseller,,0
bae38661a27f6228ba38c36e766ed769,6a6b1614baaaf766293c17d8cb8c5a9d,f42a2bd194f7802ab052a815c8de65b7,495d4e95a8cf8bbf8b432b612a2aa328,e84ac3d61c2d71c4af23fd95d1a84011,2018-09-10 14:18:01,stationery,industry,cat,,,20-50,reseller,2000,100000
450b97a48568c3118ff397f73abe4e4a,df91910b6a03bb2e3358fa6a35e32f6f,09285259593c61296eef10c734121d5b,060c0a26f19f4d66b42e0d8796688490,32a56cbd672f3c116cfd534b51f923bc,2018-04-10 19:21:54,food_drink,online_medium,cat,,,,manufacturer,,0
9878253904482726e741460a99adba86,92d46311e4fa7583d14c351fdc881af6,de63de0d10a6012430098db33c679b0b,4ef15afb4b2723d8f3d81e51ec7afefe,0aa5fcc654e7e9fa14236c13adab3f98,2018-01-26 17:23:46,food_supplement,industry,,,,,manufacturer,,0
ed3d878bf23177e7075ce07578841047,249f0e9905a6e06ad6c6bea7547ab9f6,9d12ef1a7eca3ec58c545c678af7869c,fbf4aef3f6915dc0c3c97d6812522f6a,b63ca67d5a46f8c1e866ce42fe524562,2018-05-11 19:03:19,home_decor,online_medium,cat,,,,manufacturer,,0
