mql_id,first_contact_date,landing_page_id,origin
dac32acd4db4c29c230538b72f8dd87d,2018-02-01,88740e65d5d6b056e0cda098e1ea6313,social
8c18d1de7f67e60dbd64e3c07d7e9d5d,2017-10-20,007f9098284a86ee80ddeb25d53e0af8,paid_search
b4bc852d233dfefc5131f593b538befa,2018-03-22,a7982125ff7aa3b2054c6e44f9d28522,organic_search
6be030b81c75970747525b843c1ef4f8,2018-01-22,d45d558f0daeecf3cccdffe3c59684aa,email
5420aad7fec3549a85876ba1c529bd84,2018-02-21,b48ec5f3b04e9068441002a19df93c6c,organic_search
28bdfd5f057764b54c38770f95c69f2f,2018-01-14,22c29808c4f815213303f8933030604c,organic_search
126a0d10becbaafcb2e72ce6848cf32c,2018-05-15,6a110e795dd487f1cf8d7583671987af,email
f76136f54d14a3345951f25b7932366b,2018-05-24,d51b0d02f063ba1d053db6d97226eec3,email
2f838cade4a6012a6cb1016d1d8d95ed,2017-11-10,aeac92c0f5ae22a04ed3b746cce3a1b6,organic_search
7281942387a1a0c3f72a50a8b0bb0920,2017-12-25,88740e65d5d6b056e0cda098e1ea6313,social
c534e2f89539e866011e1e75adfefbfb,2018-01-24,f017be4dbf86243af5c1ebed0cff36a2,unknown
c3764ab3fed8fbf556c87fdeaea744a9,2018-04-30,35c9b150ab36fe584c1f24fd458c453a,paid_search
a555fb36b9368110ede0f043dfc3b9a0,2018-04-04,2f08471dfb83baef522f952438a36f6e,referral
988c9372560f30a5f28f92640bb2b3da,2018-05-23,73f31a40697cc90a86c1273563ac230e,organic_search
327174d3648a2d047e8940d7d15204ca,2018-04-03,1ceb590cd1e00c7ee95220971f82693d,organic_search
a5448d7164426cc7f3260a7b2001e3e6,2017-12-08,bdaeb752e5c3caa215ebe04c61e22325,paid_search
6dda8f32d9ddc2a9ffe87be7d361a5c9,2018-02-16,b76ef37428e6799c421989521c0e5077,unknown
be8f254ef25c5a40ac8b395ed4fc6033,2018-01-13,1d4ddc25ccaa2adeded340b6eda66182,organic_search
3183fc21acb07e30098c42484e12d697,2018-01-15,22c29808c4f815213303f8933030604c,direct_traffic
8051b43253152a39fe9367c69b79b42b,2018-02-23,a7982125ff7aa3b2054c6e44f9d28522,organic_search
443a4c031f05c42f729a1ff2ac219b5a,2017-07-25,3cd2a8301d5395f21cdd3094c9eaa2f4,paid_search
e1b036022a6aaa7d187caae163216533,2017-07-13,caef563a428392ddc7807d2a529413b9,organic_search
29860f5735fc4987b5f8ef3ee2767847,2018-03-12,a7982125ff7aa3b2054c6e44f9d28522,unknown
4bdc2dfb783f8c24c6d0d032a623febc,2018-04-14,22c29808c4f815213303f8933030604c,organic_search
6d1ca411fcbc6a21484877d59be651db,2017-12-31,22c29808c4f815213303f8933030604c,display
b12b646e693cbf411f8eaae5204ffdfe,2017-09-11,b48ec5f3b04e9068441002a19df93c6c,organic_search
e3154fc901362537cc34b26fd18f0f05,2018-05-29,ece960c5dab1a015cc1cb5a419b0c63b,referral
f101b87d3b9adb48f2016bf059067ea2,2018-05-02,d83b0d0e48c8447d1d5507a44027a955,organic_search
a8b32485ea3dafd7c06f87afe4f7c6d2,2018-04-15,22c29808c4f815213303f8933030604c,social
2f0bf07b716733d56ffa0b68cfe3823f,2018-05-08,30534107aa0013db92899c96a1017d0b,social
676c0c9be43fd984c92b0ecfdab3c0d9,2017-12-31,15cf89bab2c3163b4f9d8601d108f8b2,display
5f62b80e297edbcbfb1bb211062834e9,2018-01-26,22c29808c4f815213303f8933030604c,paid_search
b62db8fadd1b177cc5ed1d239d6e2f1e,2018-02-22,a7982125ff7aa3b2054c6e44f9d28522,organic_search
f0b8024455e6c0cb3ab7495325afee5c,2018-05-11,58326e62183c14b0c03085c33b9fdc44,social
2f20c4826f9fabdb206537363642dd65,2018-04-18,0218f6be0b76aca72ab4d00ee9e8cf10,paid_search
65855f77bb6ee720c0a940b9cf8101a9,2017-09-26,e492ee5eaf1697716985cc6f33f9cd9b,referral
91ae48805e8e96055d454f043054059b,2018-03-07,f017be4dbf86243af5c1ebed0cff36a2,display
899c617012fd3225c396958f91b21f84,2018-03-16,b76ef37428e6799c421989521c0e5077,unknown
365aa59e779547d7e081b220f8fa67ac,2017-09-29,f017be4dbf86243af5c1ebed0cff36a2,organic_search
f5fee8f7da74f4887f5bcae2bafb6dd6,2018-01-14,22c29808c4f815213303f8933030604c,paid_search
82ade9609d9915ca5e830df04b7d90e2,2018-01-03,22c29808c4f815213303f8933030604c,referral
1d833a78ef4b542f594ef2cd734e1d14,2018-05-30,d823616cbcb84fff516db22f366caaa5,paid_search
9cfc99e322c9ce9f0fcfe1843113b472,2018-03-28,ea0650174e273c41e12002dcdd4708be,direct_traffic
2b6319cb1c507418504e28bf285072ee,2018-02-05,f017be4dbf86243af5c1ebed0cff36a2,organic_search
4c721b2017d5fb477659ba48277446de,2018-02-17,5209e2e679d32a6619feb6942702fd14,organic_search
9cb7b5ea641f6919eec4a49c7957c6e0,2017-07-06,ee3c3bad6ed3eb9d5de56688d1f9c91b,unknown
ce8d8333fc3f225ab596b0505fbdb2cf,2018-04-19,58326e62183c14b0c03085c33b9fdc44,social
fe629597eb47defc9ff1e96bbd47277c,2018-04-05,22c29808c4f815213303f8933030604c,direct_traffic
656b60bbc8395b4e80dc1cc6a3cf1ef2,2018-02-28,b76ef37428e6799c421989521c0e5077,organic_search
0e4b276ab6c5b327772e80cc543a0049,2018-01-22,241f79c7a8fe0270f4fb79fcbbcd17ad,paid_search
196a347f6fbe48ecb3c53a261119729e,2017-10-19,a5f7caba65f90d45005f62cb85bced39,email
312ec7f8d4615d6dd78477a4f581c612,2017-10-10,f98c2bd96ac4a5d9476734e790c91384,paid_search
56c25287be94f28752503a1cb341c896,2017-08-07,b76ef37428e6799c421989521c0e5077,organic_search
710ba53b0d353329706ee1bedf4b9b39,2017-08-10,ef0b482996664cc1107b9051efd3ca84,organic_search
80b7b0e690b99b5246e4b11990fb8184,2017-09-12,87732658ba41d8775e8577df347a64db,social
19e733acd3ee9f9362a484e5915c132b,2018-03-06,b76ef37428e6799c421989521c0e5077,unknown
b34757e1761fdbe6d687ecf4d698447a,2017-07-10,c2f7f172d3275d27cba772ab70ac3052,social
8e7af20b649bd58357ffc4aa7cf5e88f,2018-02-08,88740e65d5d6b056e0cda098e1ea6313,social
96add356f09fd7a5941ebb73c114b051,2018-01-10,a56671a54260a44923d32c2f08fad39c,direct_traffic
8e952443b19bfc5d0b90e6c4eabcb8fb,2018-01-28,21a104c3279681d9856b8a48723c4fee,
06dc745ebe65fdc0b40a6360a1876967,2018-05-25,58326e62183c14b0c03085c33b9fdc44,social
5134cb3d435ee631ad39aaa79f8874d0,2017-10-21,ce1a65abd0973638f1c887a6efcfa82d,direct_traffic
5ff3fd94bc09fae5dab3de636b8f130c,2018-01-29,65d9f9d71e562365e8b44037c2888d98,paid_search
4cc863f5bb92c44a3936263859171e53,2018-05-09,f80696b73d17fb34f5c4fde157f119d8,other_publicities
936c567e63dabf5ab46ed2440f376fc8,2018-02-20,88740e65d5d6b056e0cda098e1ea6313,social
1ca6bbff2b5e3a0f442e1407ec1c1654,2018-04-26,ce1a65abd0973638f1c887a6efcfa82d,organic_search
